Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),Wildfire_Probability,AcresBurned,County,Latitude,Longitude,Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),
Inyo,2/24/2013,36.602575,-118.01651,2013-02-24T08:16:00Z,,406,Inyo,36.488611,-117.91944,183,0,0.13,0.31,0.34,53.3,31.4,41,43,18,29,
San Bernardino,4/20/2013,34.288877,-116.941311,2013-04-20T17:30:00Z,,30,San Bernardino,34.237419,-116.86571,199,0,0,0.85,2.11,66.3,28.1,47.2,59,15,33,
Madera,4/30/2013,37.116295,-119.635004,2013-04-30T12:59:00Z,,274,Madera,37.02,-120.15,188,0,0.32,0.32,0.32,83.9,51.3,69.3,90,20,39,
Napa,4/30/2013,38.441792,-122.350844,2013-04-30T23:44:00Z,,75,Napa,38.428475,-122.41021,77,0,1.04,2.76,3.12,86,49.1,70.9,87,6,24,
Riverside,5/1/2013,33.894055,-116.855019,2013-05-01T19:00:00Z,,510,Riverside,33.9,-117.17,238,0,0.06,0.06,0.06,88.2,56.2,69,81,5,43,
Riverside,5/1/2013,34.288877,-116.941311,2013-05-01T12:38:00Z,,3166,Riverside,33.9,-117.17,238,0,0.06,0.06,0.06,88.2,56.2,69,81,5,43,
San Benito,5/1/2013,37.160346,-120.937494,2013-05-01T02:01:00Z,,354,San Benito,36.854833,-121.36275,126,0,0.29,0.76,1.4,81.1,44.4,60.7,94,30,60,
Tehama,5/1/2013,40.190062,-121.595555,2013-05-01T09:12:00Z,,6965,Tehama,40.044053,-122.16551,8,0,0.33,1.09,1.24,85.2,58.2,76,25,11,15,
Sonoma,5/3/2013,38.638828,-122.655616,2013-05-03T11:42:00Z,,125,Sonoma,38.52665,-122.813758,103,0,1.01,3.43,3.83,91,40.3,64.4,94,18,47,
Glenn,5/4/2013,39.514139,-122.560862,2013-05-04T11:43:00Z,,217,Colusa,39.226861,-122.0248,32,0,0.57,1.53,1.73,86.1,56.3,73.1,69,20,32,Keep?
San Bernardino,5/13/2013,34.1834,-117.4408,2013-05-13T13:30:00Z,,75,San Bernardino,34.255942,-117.21814,192,0,0,0,0,80.1,40.6,62.8,94,27,49,
Riverside,5/15/2013,33.9582,-116.6534,2013-05-15T12:50:00Z,,90,Riverside,33.841292,-116.47873,118,0,0,0,0,92.3,65.1,81.2,42,19,27,
Ventura,5/15/2013,34.7861,-118.9411,2013-05-15T12:50:00Z,,4346,Ventura,34.324639,-119.10488,198,0,0.14,0.15,1.12,71.3,,48.1,100,57,92,
Riverside,5/16/2013,33.655638,-116.161201,2013-05-16T13:48:00Z,,40,Riverside,33.595694,-116.15811,218,0,0,0,0,98.1,61.1,81,71,15,34,
Los Angeles,5/17/2013,34.49149,-118.610044,2013-05-17T13:23:00Z,,712,Los Angeles,34.426361,-118.51758,204,0,0.28,0.28,1.12,73.5,52.4,61.9,83,44,64,
San Luis Obispo,5/19/2013,35.49864,-120.91375,2013-05-19T15:07:00Z,,35,San Luis Obispo,35.472556,-120.64814,163,0.02,0.73,0.98,1.66,83.7,46.8,66.7,88,24,44,
Riverside,5/20/2013,33.96201,-116.907213,2013-05-20T15:45:00Z,,25,Riverside,33.9,-117.17,238,0,0.99,0.99,0.99,93.4,54.8,73.9,83,10,39,
Madera,5/20/2013,37.1927,-119.7917,2013-05-20T13:47:00Z,,91,Madera,37.02,-120.15,188,0,0.06,0.38,0.38,90.6,48.4,69,87,21,45,
Kern,5/21/2013,34.7861,-118.9411,2013-05-21T14:16:00Z,,4346,Kern,35.205583,-118.77841,125,0,0.48,0.76,1.63,91.6,57.2,75.9,62,16,31,
San Diego,5/22/2013,32.564465,-116.900368,2013-05-22T16:14:00Z,,100,San Diego,32.628208,-116.93928,147,0,0,0,0,72.1,58.2,62.8,97,65,79,
San Diego,5/23/2013,33.12111,-116.52579,2013-05-23T12:20:00Z,,2781,San Diego,33.268447,-116.36505,207,0,0,0,0,87.1,52.3,72.6,54,9,24,
Riverside,5/25/2013,33.963591,-117.187934,2013-05-25T17:35:00Z,,124,Riverside,33.9,-117.17,238,0.02,1.05,1.06,1.06,76.9,50.6,62.2,86,32,56,
San Luis Obispo,5/25/2013,35.5123,-120.6368,2013-05-25T14:59:00Z,,50,San Luis Obispo,35.472556,-120.64814,163,0.02,0.71,0.99,1.52,73.3,35.6,53.3,92,26,61,
San Diego,5/26/2013,33.04458,-116.5209,2013-05-26T12:04:00Z,,1271,San Diego,33.268447,-116.36505,207,0,0,0,0,91.2,53.8,76.3,65,14,27,
San Joaquin,5/27/2013,38.04993,-120.90325,2013-05-27T14:45:00Z,,303,San Joaquin,37.834822,-121.22319,70,0,0.02,1.48,1.74,70.7,50.7,61.3,90,56,71,
Los Angeles,5/28/2013,34.419284,-118.58688,2013-05-28T11:30:00Z,,149,Los Angeles,34.426361,-118.51758,204,0,0.28,0.28,0.95,79.2,61.9,69.9,54,27,40,
Santa Barbara,5/28/2013,34.611824,-120.074655,2013-05-28T15:24:00Z,,170,Santa Barbara,34.583144,-120.07924,64,0,0.06,0.22,0.89,80.6,49.9,61.9,95,42,71,
Santa Barbara,5/30/2013,34.55048,-119.82429,2013-05-30T11:20:00Z,,1984,Santa Barbara,34.471333,-119.86929,94,0,0.22,1.72,3.08,75.9,59.8,67.8,69,32,53,
Alameda,5/30/2013,37.775057,-121.737213,2013-05-30T15:28:00Z,,240,Alameda,37.663969,-121.88503,191,0,0,0.46,0.9,78.7,47.2,61.8,89,25,53,
San Luis Obispo,6/1/2013,35.15832,-120.05131,2013-06-01T17:27:00Z,,500,San Luis Obispo,35.028281,-120.56003,202,0.03,0.87,1.5,2.48,64.2,47.1,55.6,90,64,77,
Tuolumne,6/2/2013,37.91529,-120.33313,2013-06-02T13:30:00Z,,100,Stanislaus,37.727194,-120.85086,194,0,0,0.37,1.25,94.9,59.3,76.3,66,27,45,Keep?
Butte,6/3/2013,39.434183,-121.576804,2013-06-03T13:49:00Z,,298,Butte,39.608639,-121.82443,12,0,0.27,0.82,4.24,98.7,57.2,77.7,88,28,52,
Merced,6/4/2013,37.03776,-121.006939,2013-06-04T15:42:00Z,,124,Merced,37.096694,-120.7539,56,0,0,0,1.03,86.7,54.9,69,85,36,58,
Lake,6/5/2013,38.99233,-122.703193,2013-06-05T16:05:00Z,,30,Mendocino,39.006747,-123.08012,85,0,0.11,0.27,1.74,87.5,48.8,65.1,97,37,64,Keep?
Riverside,6/8/2013,33.96936,-117.1265,2013-06-08T15:37:00Z,,42,Riverside,33.9,-117.17,238,0,0.39,1.12,1.12,90,56.6,70,94,32,60,
Los Angeles,6/8/2013,34.585595,-118.423176,2013-06-08T10:16:00Z,,30274,Los Angeles,34.426361,-118.51758,204,0,0,0.28,0.28,83.9,55,67.4,89,35,62,
Riverside,6/9/2013,33.99647,-116.84137,2013-06-09T12:30:00Z,,0,Riverside,33.9,-117.17,238,0,0.27,1.12,1.12,92.4,55.5,69.6,93,11,55,
Madera,6/10/2013,37.169379,-119.75636,2013-06-10T00:46:00Z,,75,Madera,37.02,-120.15,188,0,0,0.06,0.38,80.8,56.8,67.3,87,38,64,
Sonoma,6/10/2013,38.4229,-122.0437,2013-06-10T00:46:00Z,,28,Sonoma,38.266428,-122.61646,144,0,0,0,1.64,63.9,55.1,59.2,97,69,80,
