Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,,,,,
Santa Barbara,8/1/2015,34.9522,-120.2903,2015-08-01T14:32:00Z,42,,52,,,,,,,,
Nevada,9/7/2016,39.39051,-120.51887,2016-09-07T15:09:00Z,29,,38,,,,,,,,
Lake,1/22/2013,0,0,2013-01-22T11:08:00Z,17,,296,,,,,,,,
Inyo,2/24/2013,36.602575,-118.01651,2013-02-24T08:16:00Z,14,,406,,,,,,,,
Riverside,2/28/2013,0,0,2013-02-28T16:43:00Z,33,,311,,,,,,,,
Fresno,4/9/2013,0,0,2013-04-09T12:35:00Z,10,,80,,,,,,,,
San Bernardino,4/20/2013,34.288877,-116.941311,2013-04-20T17:30:00Z,36,,30,,,,,,,,
Madera,4/30/2013,37.116295,-119.635004,2013-04-30T12:59:00Z,20,,274,,,,,,,,
Napa,4/30/2013,38.441792,-122.350844,2013-04-30T23:44:00Z,28,,75,,,,,,,,
San Benito,5/1/2013,37.160346,-120.937494,2013-05-01T02:01:00Z,35,,354,,,,,,,,
Sonoma,5/3/2013,38.638828,-122.655616,2013-05-03T11:42:00Z,49,,125,,,,,,,,
Riverside,5/1/2013,34.288877,-116.941311,2013-05-01T12:38:00Z,33,,3166,,,,,,,,
Butte,5/1/2013,0,0,2013-05-01T04:16:00Z,4,,72,,,,,,,,
Riverside,5/1/2013,33.894055,-116.855019,2013-05-01T19:00:00Z,33,,510,,,,,,,,
Glenn,5/4/2013,39.514139,-122.560862,2013-05-04T11:43:00Z,11,,217,,,,,,,,
Tehama,5/1/2013,40.190062,-121.595555,2013-05-01T09:12:00Z,52,,6965,,,,,,,,
Ventura,5/2/2013,0,0,2013-05-02T07:01:00Z,56,,24251,,,,,,,,
Madera,5/12/2013,0,0,2013-05-12T13:02:00Z,20,,15,,,,,,,,
San Bernardino,5/13/2013,34.1834,-117.4408,2013-05-13T13:30:00Z,36,,75,,,,,,,,
Riverside,5/16/2013,33.655638,-116.161201,2013-05-16T13:48:00Z,33,,40,,,,,,,,
Los Angeles,5/17/2013,34.49149,-118.610044,2013-05-17T13:23:00Z,19,,712,,,,,,,,
Madera,5/20/2013,37.1927,-119.7917,2013-05-20T13:47:00Z,20,,91,,,,,,,,
San Luis Obispo,5/19/2013,35.49864,-120.91375,2013-05-19T15:07:00Z,40,,35,,,,,,,,
Riverside,5/20/2013,33.96201,-116.907213,2013-05-20T15:45:00Z,33,,25,,,,,,,,
Kern,5/21/2013,34.7861,-118.9411,2013-05-21T14:16:00Z,"15,56",,4346,,,,,,,,
Ventura,5/15/2013,34.7861,-118.9411,2013-05-15T12:50:00Z,"15,56",,4346,,,,,,,,
Riverside,5/15/2013,33.9582,-116.6534,2013-05-15T12:50:00Z,33,,90,,,,,,,,
Butte,5/22/2013,0,0,2013-05-22T00:56:00Z,4,,150,,,,,,,,
San Diego,5/22/2013,32.564465,-116.900368,2013-05-22T16:14:00Z,37,,100,,,,,,,,
Riverside,5/25/2013,33.963591,-117.187934,2013-05-25T17:35:00Z,33,,124,,,,,,,,
San Luis Obispo,5/25/2013,35.5123,-120.6368,2013-05-25T14:59:00Z,40,,50,,,,,,,,
San Diego,5/23/2013,33.12111,-116.52579,2013-05-23T12:20:00Z,37,,2781,,,,,,,,
Santa Barbara,5/28/2013,34.611824,-120.074655,2013-05-28T15:24:00Z,42,,170,,,,,,,,
Los Angeles,5/28/2013,34.419284,-118.58688,2013-05-28T11:30:00Z,19,,149,,,,,,,,
Santa Barbara,5/30/2013,34.55048,-119.82429,2013-05-30T11:20:00Z,42,,1984,,,,,,,,
San Joaquin,5/27/2013,38.04993,-120.90325,2013-05-27T14:45:00Z,39,,303,,,,,,,,
San Diego,5/26/2013,33.04458,-116.5209,2013-05-26T12:04:00Z,37,,1271,,,,,,,,
Tuolumne,6/2/2013,37.91529,-120.33313,2013-06-02T13:30:00Z,55,,100,,,,,,,,
San Luis Obispo,6/1/2013,35.15832,-120.05131,2013-06-01T17:27:00Z,40,,500,,,,,,,,
Butte,6/3/2013,39.434183,-121.576804,2013-06-03T13:49:00Z,4,,298,,,,,,,,
Merced,6/4/2013,37.03776,-121.006939,2013-06-04T15:42:00Z,24,,124,,,,,,,,
Lake,6/5/2013,38.99233,-122.703193,2013-06-05T16:05:00Z,17,,30,,,,,,,,
Los Angeles,6/8/2013,34.585595,-118.423176,2013-06-08T10:16:00Z,19,,30274,,,,,,,,
Alameda,5/30/2013,37.775057,-121.737213,2013-05-30T15:28:00Z,1,,240,,,,,,,,
Riverside,6/8/2013,33.96936,-117.1265,2013-06-08T15:37:00Z,33,,42,,,,,,,,
Riverside,6/9/2013,33.99647,-116.84137,2013-06-09T12:30:00Z,33,,0,,,,,,,,
Placer,6/12/2013,38.729297,-121.380862,2013-06-12T16:43:00Z,31,,237,,,,,,,,
Fresno,6/13/2013,36.772425,-119.628389,2013-06-13T11:28:00Z,10,,108,,,,,,,,
Amador,6/13/2013,38.27783,-120.966016,2013-06-13T11:54:00Z,3,,96,,,,,,,,
Fresno,6/13/2013,36.763367,-119.558244,2013-06-13T15:54:00Z,10,,35,,,,,,,,
Madera,6/10/2013,37.169379,-119.75636,2013-06-10T00:46:00Z,20,,75,,,,,,,,
Sonoma,6/10/2013,38.4229,-122.0437,2013-06-10T00:46:00Z,"49,48,17,6",,28,,,,,,,,
Solano,6/10/2013,38.4229,-122.0437,2013-06-10T00:46:00Z,"49,48,17,6",,28,,,,,,,,
Lake,6/10/2013,38.4229,-122.0437,2013-06-10T00:46:00Z,"49,48,17,6",,28,,,,,,,,
Colusa,6/12/2013,38.4229,-122.0437,2013-06-12T16:40:00Z,"49,48,17,6",,28,,,,,,,,
Riverside,6/14/2013,34.001745,-117.302057,2013-06-14T13:47:00Z,33,,40,,,,,,,,
Glenn,6/12/2013,0,0,2013-06-12T15:17:00Z,11,,226,,,,,,,,
Madera,6/16/2013,37.015575,-119.78106,2013-06-16T18:17:00Z,20,,482,,,,,,,,
Solano,6/18/2013,38.08744,-122.13802,2013-06-18T15:18:00Z,48,,124,,,,,,,,
Fresno,6/17/2013,37.03087,-119.463757,2013-06-17T14:41:00Z,10,,46,,,,,,,,
Lake,6/20/2013,38.98058,-122.81796,2013-06-20T14:29:00Z,17,,25,,,,,,,,
Fresno,6/25/2013,36.7218,-119.2248,2013-06-25T13:36:00Z,10,,150,,,,,,,,
Mariposa,6/16/2013,37.58202,-119.91071,2013-06-16T14:12:00Z,22,,1708,,,,,,,,
Monterey,6/29/2013,36.1531,-120.8973,2013-06-29T14:09:00Z,27,,105,,,,,,,,
San Bernardino,6/28/2013,34.071556,-117.048397,2013-06-28T14:30:00Z,36,,534,,,,,,,,
Contra Costa,7/1/2013,37.96866,-121.91453,2013-07-01T15:41:00Z,7,,492,,,,,,,,
Contra Costa,7/1/2013,39.90465,-121.74367,2013-07-01T13:19:00Z,7,,274,,,,,,,,
Tehama,7/4/2013,40.012398,-122.079871,2013-07-04T07:30:00Z,52,,200,,,,,,,,
Alameda,7/4/2013,37.7393,-121.5869,2013-07-04T10:00:00Z,1,,50,,,,,,,,
Modoc,7/3/2013,41.2415,-121.035,2013-07-03T22:56:00Z,25,,502,,,,,,,,
Alameda,7/6/2013,37.74241,-121.86216,2013-07-06T13:09:00Z,1,,38,,,,,,,,
San Luis Obispo,7/7/2013,35.62743,-120.83417,2013-07-07T13:16:00Z,40,,85,,,,,,,,
Yuba,7/8/2013,39.206,-121.31634,2013-07-08T09:59:00Z,58,,73,,,,,,,,
Shasta,7/9/2013,40.373,-122.7338,2013-07-09T11:59:00Z,45,,43,,,,,,,,
El Dorado,7/8/2013,38.774,-120.298,2013-07-08T12:45:00Z,9,,572,,,,,,,,
Santa Clara,7/12/2013,37.1438,-121.7804,2013-07-12T13:09:00Z,43,,50,,,,,,,,
Stanislaus,7/12/2013,37.436,-121.1955,2013-07-12T15:35:00Z,50,,150,,,,,,,,
San Diego,7/6/2013,32.95435,-116.47381,2013-07-06T12:55:00Z,37,,7055,,,,,,,,
Monterey,7/16/2013,0,0,2013-07-16T17:48:00Z,27,,213,,,,,,,,
Riverside,7/17/2013,33.990128,-117.164997,2013-07-17T13:23:00Z,33,,150,,,,,,,,
Tehama,7/19/2013,39.961309,-122.330879,2013-07-19T13:32:00Z,52,,195,,,,,,,,
El Dorado,7/19/2013,38.63987,-121.08438,2013-07-19T14:12:00Z,"9,34",,163,,,,,,,,
Sacramento,7/19/2013,38.63987,-121.08438,2013-07-19T14:12:00Z,"9,34",,163,,,,,,,,
Riverside,7/19/2013,33.94528,-117.09306,2013-07-19T17:31:00Z,33,,15,,,,,,,,
Riverside,7/19/2013,33.9634,-117.2508,2013-07-19T16:21:00Z,33,,40,,,,,,,,
Kern,7/19/2013,34.882,-118.9194,2013-07-19T12:00:00Z,15,,712,,,,,,,,
Mendocino,7/22/2013,38.980846,-123.067671,2013-07-22T12:34:00Z,23,,45,,,,,,,,
Calaveras,7/23/2013,37.965364,-120.696362,2013-07-23T13:29:00Z,5,,31,,,,,,,,
Kern,7/23/2013,34.90327,-118.93388,2013-07-23T09:15:00Z,15,,612,,,,,,,,
Sonoma,7/26/2013,38.17693,-122.51253,2013-07-26T13:45:00Z,49,,158,,,,,,,,
San Bernardino,7/25/2013,34.316,-117.352,2013-07-25T15:09:00Z,36,,75,,,,,,,,
San Diego,7/28/2013,32.612773,-116.707335,2013-07-28T09:43:00Z,37,,25,,,,,,,,
Riverside,7/15/2013,33.7095,-116.72885,2013-07-15T13:43:00Z,33,,27531,,,,,,,,
Siskiyou,7/31/2013,0,0,2013-07-31T15:25:00Z,47,,40,,,,,,,,
Humboldt,8/3/2013,41.333,-123.376,2013-08-03T08:00:00Z,12,,0,,,,,,,,
