Counties (Location),FormattedDate,Latitude,Longitude,Extinguished (Date),Wildfire_Probability,AcresBurned,County,Latitude (WeatherStation),Longitude (WeatherStation),Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%)
Inyo,2/28/2013,36.602575,-118.01651,2013-02-28T20:00:00Z,,406,Inyo,36.488611,-117.91944,183,0,0,0.27,0.34,62.6,27.4,43.6,63,15,40
San Bernardino,4/22/2013,34.288877,-116.941311,2013-04-22T09:00:00Z,,30,San Bernardino,34.237419,-116.86571,199,0,0,0.5,2.11,70.1,31,50.1,64,13,33
Madera,5/1/2013,37.116295,-119.635004,2013-05-01T07:00:00Z,,274,Madera,37.02,-120.15,188,0,0.32,0.32,0.32,86.5,46.4,66.1,80,23,44
Napa,5/1/2013,38.441792,-122.350844,2013-05-01T17:15:00Z,,75,Napa,38.428475,-122.41021,77,0,0.78,2.76,3.12,87.3,58.2,73.5,31,9,
San Benito,5/3/2013,37.160346,-120.937494,2013-05-03T18:45:00Z,,354,San Benito,36.854833,-121.36275,126,0,0.27,0.76,1.4,91.4,48.5,68.3,71,15,32
Sonoma,5/3/2013,38.638828,-122.655616,2013-05-03T06:15:00Z,,125,Sonoma,38.52665,-122.813758,103,0,1.01,3.43,3.83,91,40.3,64.4,94,18,47
Riverside,5/4/2013,34.288877,-116.941311,2013-05-04T18:30:00Z,,3166,Riverside,33.9,-117.17,238,0.01,0.13,0.13,0.13,84,51.5,66,81,10,30
Riverside,5/5/2013,33.894055,-116.855019,2013-05-05T18:45:00Z,,510,Riverside,33.9,-117.17,238,0.01,0.14,0.14,0.14,67.8,52.5,58.5,90,44,62
Glenn,5/5/2013,39.514139,-122.560862,2013-05-05T18:00:00Z,,217,Colusa,39.226861,-122.0248,32,0,0.01,1.48,1.72,72.3,52.6,62.5,83,43,63
Tehama,5/9/2013,40.190062,-121.595555,2013-05-09T09:00:00Z,,6965,Tehama,40.044053,-122.16551,8,0,0,0.79,1.13,90.3,55,70.3,96,33,64
