Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned
Mexico,8/25/2019,32.557546,-116.873955,2019-08-25T16:15:15Z,"62,37",,25
Mexico,8/16/2019,32.573437,-116.658735,2019-08-16T06:14:55Z,62,,1507
Riverside,12/31/1969,33.97471,-117.09984,1969-12-31T16:00:00Z,33,,3874
Lake,8/9/2016,36.09974,-120.51057,2016-08-09T17:30:00Z,17,,45
San Benito,12/31/1969,36.65351,-121.0454,1969-12-31T16:00:00Z,35,,278
Mariposa,10/7/2014,37,40.34,2014-10-07T15:05:00Z,22,,311
Madera,7/15/2019,37.016944,-119.934167,2019-07-15T18:19:31Z,20,,213
Mariposa,7/21/2019,37.241427,-120.027731,2019-07-21T12:01:40Z,22,,149
Mariposa,6/27/2018,37.28365,-119.97546,2018-06-27T12:39:00Z,22,,40
Mariposa,7/19/2017,37.36914,-120.0088,2017-07-19T17:30:00Z,22,,63
Mariposa,6/11/2017,37.37397,-119.83556,2017-06-11T18:12:00Z,22,,680
Mariposa,6/11/2017,37.3762,-119.9646,2017-06-11T18:49:00Z,22,,630
Mariposa,9/26/2017,37.41231,-119.87465,2017-09-26T15:30:00Z,22,,17
San Mateo,7/29/2017,37.41591,-122.3001,2017-07-29T17:29:00Z,41,,50
Mariposa,6/25/2017,37.4591,-119.921,2017-06-25T17:00:00Z,22,,225
Mariposa,6/30/2018,37.47677,-119.84299,2018-06-30T14:12:00Z,22,,53
Mariposa,7/8/2019,37.524378,-120.296551,2019-07-08T15:30:14Z,22,,244
Mariposa,8/15/2019,37.532028,-120.208019,2019-08-15T15:15:56Z,22,,423
Mariposa,8/16/2019,37.536069,-120.177018,2019-08-16T14:11:02Z,22,,1300
Mariposa,5/15/2017,37.538,-119.598,2017-05-15T14:05:00Z,22,,7000
Madera,9/29/2018,37.571,-119.118,2018-09-29T09:30:00Z,20,,4064
Mariposa,6/16/2013,37.58202,-119.91071,2013-06-16T14:12:00Z,22,,1708
Mariposa,10/6/2019,37.604638,-119.96606,2019-10-06T16:15:12Z,22,,5563
Mariposa,4/3/2017,37.61757,-120.21321,2017-04-03T16:00:00Z,22,,81826
Mariposa,7/5/2017,37.62823,-120.30046,2017-07-05T15:40:00Z,22,,125
Mariposa,5/14/2017,37.644,-119.618,2017-05-14T12:51:00Z,22,,8094
Mariposa,11/14/2018,37.6549,-119.88581,2018-11-14T14:56:00Z,22,,96901
Mariposa,8/13/2017,37.65963,-120.34802,2017-08-13T16:23:00Z,22,,36
Tuolumne,9/12/2017,37.65986,-120.31157,2017-09-12T16:08:00Z,55,,20
San Mateo,9/7/2013,37.667295,-122.427285,2013-09-07T13:55:00Z,41,,41
Mariposa,6/9/2018,37.69965,-120.0545,2018-06-09T15:32:00Z,22,,22
Mariposa,7/20/2018,37.707234,-120.199162,2018-07-20T14:23:00Z,22,,115
Mariposa,6/13/2014,37.7103,-120.197,2014-06-13T12:23:00Z,22,,130
Mariposa,10/31/2017,37.73596,-119.78256,2017-10-31T11:22:00Z,22,,0
Del Norte,9/13/2016,37.75972,-120.029626,2016-09-13T13:55:00Z,8,,150
Tuolumne,6/4/2014,37.76617,-120.45087,2014-06-04T11:45:00Z,55,,487
Mariposa,10/17/2017,37.76888,-120.15846,2017-10-17T03:43:00Z,22,,10
Tuolumne,6/5/2014,37.787,-120.452,2014-06-05T13:04:00Z,55,,269
Tuolumne,9/26/2016,37.79635,-120.32484,2016-09-26T12:20:00Z,55,,1080
Tuolumne,7/27/2018,37.80785,-120.30187,2018-07-27T13:28:00Z,55,,163
Tuolumne,7/30/2016,37.81434,-120.69521,2016-07-30T16:25:00Z,55,,32
Tuolumne,7/31/2015,37.823,-120.15644,2015-07-31T21:00:00Z,55,,204
Mono,9/6/2019,37.826,-118.872,2019-09-06T11:24:11Z,26,,4840
Tuolumne,9/3/2014,37.8316,-120.3434,2014-09-03T16:03:00Z,55,,70
Tuolumne,8/19/2018,37.83388,-120.61746,2018-08-19T13:37:00Z,55,,573
Tuolumne,8/16/2015,37.83618,-120.61691,2015-08-16T15:30:00Z,55,,112
Tuolumne,9/24/2019,37.838333,-120.625556,2019-09-24T08:40:45Z,55,,83
Tuolumne,8/14/2017,37.85137,-120.45268,2017-08-14T14:28:00Z,55,,38
Tuolumne,8/17/2013,37.857,-120.086,2013-08-17T15:25:00Z,55,,257314
Tuolumne,9/19/2017,37.896778,-120.504134,2017-09-19T00:22:00Z,55,,39
Tuolumne,7/6/2017,37.90014,-120.36005,2017-07-06T13:00:00Z,55,,124
Tuolumne,6/11/2017,37.905545,-120.408135,2017-06-11T10:46:00Z,55,,690
Tuolumne,6/2/2013,37.91529,-120.33313,2013-06-02T13:30:00Z,55,,100
Tuolumne,5/30/2016,37.927613,-120.528836,2016-05-30T15:10:00Z,55,,85
Tuolumne,8/8/2019,37.949747,-120.420058,2019-08-08T16:16:40Z,55,,21
Calaveras,7/14/2018,37.95766,-120.68902,2018-07-14T15:00:00Z,5,,80
Calaveras,7/12/2016,37.96311,-120.67335,2016-07-12T15:19:00Z,5,,35
Calaveras,7/23/2013,37.965364,-120.696362,2013-07-23T13:29:00Z,5,,31
Mono,6/25/2016,37.97,-119.14,2016-06-25T06:30:00Z,26,,650
Calaveras,7/19/2016,37.98171,-120.64241,2016-07-19T17:16:00Z,5,,57
