Counties (Location),FormattedDate,Latitude,Longitude,Extinguished (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,Extinguished,,Started
Santa Barbara,12/31/1969,34.9522,-120.2903,1969-12-31T16:00:00Z,42,,52,,,,1969-12-31T16:00:00Z,,2015-08-01T14:32:00Z
Nevada,12/31/1969,39.39051,-120.51887,1969-12-31T16:00:00Z,29,,38,,,,1969-12-31T16:00:00Z,,2016-09-07T15:09:00Z
Lake,1/23/2013,0,0,2013-01-23T10:15:00Z,17,,296,,,,2013-01-23T10:15:00Z,,2013-01-22T11:08:00Z
Inyo,2/28/2013,36.602575,-118.01651,2013-02-28T20:00:00Z,14,,406,,,,2013-02-28T20:00:00Z,,2013-02-24T08:16:00Z
Riverside,3/2/2013,0,0,2013-03-02T19:00:00Z,33,,311,,,,2013-03-02T19:00:00Z,,2013-02-28T16:43:00Z
Fresno,4/9/2013,0,0,2013-04-09T15:30:00Z,10,,80,,,,2013-04-09T15:30:00Z,,2013-04-09T12:35:00Z
San Bernardino,4/22/2013,34.288877,-116.941311,2013-04-22T09:00:00Z,36,,30,,,,2013-04-22T09:00:00Z,,2013-04-20T17:30:00Z
Madera,5/1/2013,37.116295,-119.635004,2013-05-01T07:00:00Z,20,,274,,,,2013-05-01T07:00:00Z,,2013-04-30T12:59:00Z
Napa,5/1/2013,38.441792,-122.350844,2013-05-01T17:15:00Z,28,,75,,,,2013-05-01T17:15:00Z,,2013-04-30T23:44:00Z
San Benito,5/3/2013,37.160346,-120.937494,2013-05-03T18:45:00Z,35,,354,,,,2013-05-03T06:15:00Z,,2013-05-01T02:01:00Z
Sonoma,5/3/2013,38.638828,-122.655616,2013-05-03T06:15:00Z,49,,125,,,,2013-05-03T18:45:00Z,,2013-05-03T11:42:00Z
Riverside,5/4/2013,34.288877,-116.941311,2013-05-04T18:30:00Z,33,,3166,,,,2013-05-04T18:30:00Z,,2013-05-01T12:38:00Z
Butte,5/4/2013,0,0,2013-05-04T19:00:00Z,4,,72,,,,2013-05-04T19:00:00Z,,2013-05-01T04:16:00Z
Riverside,5/5/2013,33.894055,-116.855019,2013-05-05T18:45:00Z,33,,510,,,,2013-05-05T18:00:00Z,,2013-05-01T19:00:00Z
Glenn,5/5/2013,39.514139,-122.560862,2013-05-05T18:00:00Z,11,,217,,,,2013-05-05T18:45:00Z,,2013-05-04T11:43:00Z
Tehama,5/9/2013,40.190062,-121.595555,2013-05-09T09:00:00Z,52,,6965,,,,2013-05-09T09:00:00Z,,2013-05-01T09:12:00Z
Ventura,5/11/2013,0,0,2013-05-11T06:30:00Z,56,,24251,,,,2013-05-11T06:30:00Z,,2013-05-02T07:01:00Z
Madera,5/13/2013,0,0,2013-05-13T09:00:00Z,20,,15,,,,2013-05-13T09:00:00Z,,2013-05-12T13:02:00Z
San Bernardino,5/15/2013,34.1834,-117.4408,2013-05-15T08:15:00Z,36,,75,,,,2013-05-15T08:15:00Z,,2013-05-13T13:30:00Z
Riverside,5/17/2013,33.655638,-116.161201,2013-05-17T08:30:00Z,33,,40,,,,2013-05-17T08:30:00Z,,2013-05-16T13:48:00Z
Los Angeles,5/18/2013,34.49149,-118.610044,2013-05-18T19:00:00Z,19,,712,,,,2013-05-18T19:00:00Z,,2013-05-17T13:23:00Z
Madera,5/20/2013,37.1927,-119.7917,2013-05-20T19:10:00Z,20,,91,,,,2013-05-20T18:50:00Z,,2013-05-20T13:47:00Z
San Luis Obispo,5/20/2013,35.49864,-120.91375,2013-05-20T19:10:00Z,40,,35,,,,2013-05-20T19:10:00Z,,2013-05-19T15:07:00Z
Riverside,5/20/2013,33.96201,-116.907213,2013-05-20T18:50:00Z,33,,25,,,,2013-05-20T19:10:00Z,,2013-05-20T15:45:00Z
Kern,5/21/2013,34.7861,-118.9411,2013-05-21T19:45:00Z,"15,56",,4346,,,,2013-05-21T19:30:00Z,,2013-05-21T14:16:00Z
Ventura,5/21/2013,34.7861,-118.9411,2013-05-21T19:45:00Z,"15,56",,4346,,,,2013-05-21T19:45:00Z,,2013-05-15T12:50:00Z
Riverside,5/21/2013,33.9582,-116.6534,2013-05-21T19:30:00Z,33,,90,,,,2013-05-21T19:45:00Z,,2013-05-15T12:50:00Z
Butte,5/22/2013,0,0,2013-05-22T09:30:00Z,4,,150,,,,2013-05-22T09:30:00Z,,2013-05-22T00:56:00Z
San Diego,5/23/2013,32.564465,-116.900368,2013-05-23T08:30:00Z,37,,100,,,,2013-05-23T08:30:00Z,,2013-05-22T16:14:00Z
Riverside,5/25/2013,33.963591,-117.187934,2013-05-25T23:00:00Z,33,,124,,,,2013-05-25T18:45:00Z,,2013-05-25T17:35:00Z
San Luis Obispo,5/25/2013,35.5123,-120.6368,2013-05-25T18:45:00Z,40,,50,,,,2013-05-25T23:00:00Z,,2013-05-25T14:59:00Z
San Diego,5/26/2013,33.12111,-116.52579,2013-05-26T17:45:00Z,37,,2781,,,,2013-05-26T17:45:00Z,,2013-05-23T12:20:00Z
Santa Barbara,5/29/2013,34.611824,-120.074655,2013-05-29T10:30:00Z,42,,170,,,,2013-05-29T10:30:00Z,,2013-05-28T15:24:00Z
Los Angeles,5/29/2013,34.419284,-118.58688,2013-05-29T15:30:00Z,19,,149,,,,2013-05-29T15:30:00Z,,2013-05-28T11:30:00Z
Santa Barbara,5/30/2013,34.55048,-119.82429,2013-05-30T19:30:00Z,42,,1984,,,,2013-05-30T13:25:00Z,,2013-05-30T11:20:00Z
San Joaquin,5/30/2013,38.04993,-120.90325,2013-05-30T13:25:00Z,39,,303,,,,2013-05-30T19:30:00Z,,2013-05-27T14:45:00Z
San Diego,5/31/2013,33.04458,-116.5209,2013-05-31T06:15:00Z,37,,1271,,,,2013-05-31T06:15:00Z,,2013-05-26T12:04:00Z
Tuolumne,6/2/2013,37.91529,-120.33313,2013-06-02T16:55:00Z,55,,100,,,,2013-06-02T16:55:00Z,,2013-06-02T13:30:00Z
San Luis Obispo,6/3/2013,35.15832,-120.05131,2013-06-03T18:30:00Z,40,,500,,,,2013-06-03T18:30:00Z,,2013-06-01T17:27:00Z
Butte,6/3/2013,39.434183,-121.576804,2013-06-03T20:00:00Z,4,,298,,,,2013-06-03T20:00:00Z,,2013-06-03T13:49:00Z
Merced,6/5/2013,37.03776,-121.006939,2013-06-05T08:30:00Z,24,,124,,,,2013-06-05T08:30:00Z,,2013-06-04T15:42:00Z
Lake,6/6/2013,38.99233,-122.703193,2013-06-06T07:00:00Z,17,,30,,,,2013-06-06T07:00:00Z,,2013-06-05T16:05:00Z
Los Angeles,6/8/2013,34.585595,-118.423176,2013-06-08T18:30:00Z,19,,30274,,,,2013-06-08T13:25:00Z,,2013-06-08T10:16:00Z
Alameda,6/8/2013,37.775057,-121.737213,2013-06-08T13:25:00Z,1,,240,,,,2013-06-08T18:30:00Z,,2013-05-30T15:28:00Z
Riverside,6/8/2013,33.96936,-117.1265,2013-06-08T19:00:00Z,33,,42,,,,2013-06-08T19:00:00Z,,2013-06-08T15:37:00Z
Riverside,6/9/2013,33.99647,-116.84137,2013-06-09T16:45:00Z,33,,0,,,,2013-06-09T16:45:00Z,,2013-06-09T12:30:00Z
Placer,6/13/2013,38.729297,-121.380862,2013-06-13T14:15:00Z,31,,237,,,,2013-06-13T09:45:00Z,,2013-06-12T16:43:00Z
Fresno,6/13/2013,36.772425,-119.628389,2013-06-13T21:30:00Z,10,,108,,,,2013-06-13T14:15:00Z,,2013-06-13T11:28:00Z
Amador,6/13/2013,38.27783,-120.966016,2013-06-13T09:45:00Z,3,,96,,,,2013-06-13T21:30:00Z,,2013-06-13T11:54:00Z
Fresno,6/13/2013,36.763367,-119.558244,2013-06-13T21:30:00Z,10,,35,,,,2013-06-13T21:30:00Z,,2013-06-13T15:54:00Z
Madera,6/14/2013,37.169379,-119.75636,2013-06-14T16:30:00Z,20,,75,,,,2013-06-14T15:45:00Z,,2013-06-10T00:46:00Z
Sonoma,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,"49,48,17,6",,28,,,,2013-06-14T15:45:00Z,,2013-06-10T00:46:00Z
Solano,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,"49,48,17,6",,28,,,,2013-06-14T15:45:00Z,,2013-06-10T00:46:00Z
Lake,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,"49,48,17,6",,28,,,,2013-06-14T15:45:00Z,,2013-06-10T00:46:00Z
Colusa,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,"49,48,17,6",,28,,,,2013-06-14T16:30:00Z,,2013-06-12T16:40:00Z
Riverside,6/15/2013,34.001745,-117.302057,2013-06-15T08:00:00Z,33,,40,,,,2013-06-15T08:00:00Z,,2013-06-14T13:47:00Z
Glenn,6/17/2013,0,0,2013-06-17T09:00:00Z,11,,226,,,,2013-06-17T09:00:00Z,,2013-06-12T15:17:00Z
Madera,6/18/2013,37.015575,-119.78106,2013-06-18T19:30:00Z,20,,482,,,,2013-06-18T19:30:00Z,,2013-06-16T18:17:00Z
Solano,6/18/2013,38.08744,-122.13802,2013-06-18T22:30:00Z,48,,124,,,,2013-06-18T22:30:00Z,,2013-06-18T15:18:00Z
Fresno,6/19/2013,37.03087,-119.463757,2013-06-19T08:45:00Z,10,,46,,,,2013-06-19T08:45:00Z,,2013-06-17T14:41:00Z
Lake,6/20/2013,38.98058,-122.81796,2013-06-20T13:15:00Z,17,,25,,,,2013-06-20T13:15:00Z,,2013-06-20T14:29:00Z
Fresno,6/25/2013,36.7218,-119.2248,2013-06-25T17:15:00Z,10,,150,,,,2013-06-25T17:15:00Z,,2013-06-25T13:36:00Z
Mariposa,6/26/2013,37.58202,-119.91071,2013-06-26T11:15:00Z,22,,1708,,,,2013-06-26T11:15:00Z,,2013-06-16T14:12:00Z
Monterey,6/29/2013,36.1531,-120.8973,2013-06-29T18:30:00Z,27,,105,,,,2013-06-29T18:30:00Z,,2013-06-29T14:09:00Z
San Bernardino,7/1/2013,34.071556,-117.048397,2013-07-01T06:00:00Z,36,,534,,,,2013-07-01T06:00:00Z,,2013-06-28T14:30:00Z
Contra Costa,7/1/2013,37.96866,-121.91453,2013-07-01T18:40:00Z,7,,492,,,,2013-07-01T18:30:00Z,,2013-07-01T15:41:00Z
Contra Costa,7/1/2013,39.90465,-121.74367,2013-07-01T18:30:00Z,7,,274,,,,2013-07-01T18:40:00Z,,2013-07-01T13:19:00Z
Tehama,7/4/2013,40.012398,-122.079871,2013-07-04T10:30:00Z,52,,200,,,,2013-07-04T10:30:00Z,,2013-07-04T07:30:00Z
Alameda,7/4/2013,37.7393,-121.5869,2013-07-04T11:30:00Z,1,,50,,,,2013-07-04T11:30:00Z,,2013-07-04T10:00:00Z
Modoc,7/5/2013,41.2415,-121.035,2013-07-05T18:30:00Z,25,,502,,,,2013-07-05T18:30:00Z,,2013-07-03T22:56:00Z
