Extinguished (Date),Counties (Location),CountyIds (might not need this one),Latitude,Longitude,Wildfire_Probability,AcresBurned,Avg_Temperature,Avg_Humidity,Rainfall_30,Rainfall_60,Rainfall_90
2013-09-06T18:30:00Z,Tuolumne,55,37.857,-120.086,,257314,,,,,
2013-06-08T18:30:00Z,Los Angeles,19,34.585595,-118.423176,,30274,,,,,
2013-07-30T18:00:00Z,Riverside,33,33.7095,-116.72885,,27531,,,,,
2013-08-30T08:00:00Z,Placer,31,39.12,-120.65,,27440,,,,,
2013-05-11T06:30:00Z,Ventura,56,0,0,,24251,,,,,
2013-09-24T20:15:00Z,Fresno,10,37.279,-119.318,,22992,,,,,
2013-08-12T18:00:00Z,Riverside,33,33.86157,-116.90427,,20292,,,,,
2013-08-31T06:45:00Z,Siskiyou,47,41.32,-123.176,,14754,,,,,
2013-08-12T12:00:00Z,Humboldt,12,41.035,-123.488,,12503,,,,,
2013-08-29T16:45:00Z,Tehama,52,40.04263,-121.85397,,11429,,,,,
2013-09-15T07:30:00Z,Shasta,45,40.498332,-122.535496,,8073,,,,,
2013-07-15T06:15:00Z,San Diego,37,32.95435,-116.47381,,7055,,,,,
2013-05-09T09:00:00Z,Tehama,52,40.190062,-121.595555,,6965,,,,,
2013-05-21T19:45:00Z,Kern,"15,56",34.7861,-118.9411,,4346,,,,,
2013-05-21T19:45:00Z,Ventura,"15,56",34.7861,-118.9411,,4346,,,,,
2013-11-27T18:15:00Z,Sonoma,49,38.8167,-122.8498,,3505,,,,,
2013-05-04T18:30:00Z,Riverside,33,34.288877,-116.941311,,3166,,,,,
2013-09-14T17:30:00Z,Contra Costa,7,37.90757,-121.882582,,3111,,,,,
2013-05-26T17:45:00Z,San Diego,37,33.12111,-116.52579,,2781,,,,,
2013-08-22T18:00:00Z,Butte,4,39.446268,-121.38236,,2462,,,,,
2013-10-09T19:00:00Z,San Diego,37,33.341,-117.3092,,2236,,,,,
2013-09-24T20:15:00Z,Tulare,54,36.208,-118.444,,2060,,,,,
2013-05-30T19:30:00Z,Santa Barbara,42,34.55048,-119.82429,,1984,,,,,
2013-06-26T11:15:00Z,Mariposa,22,37.58202,-119.91071,,1708,,,,,
2013-08-09T18:45:00Z,Riverside,"33,",33.62236,-117.40288,,1383,,,,,
2013-05-31T06:15:00Z,San Diego,37,33.04458,-116.5209,,1271,,,,,
2013-08-14T08:30:00Z,Tuolumne,55,38.25108,-120.02778,,1070,,,,,
2013-12-20T20:00:00Z,Monterey,27,0,0,,917,,,,,
2013-08-24T13:45:00Z,Kern,15,35.707,-118.588,,794,,,,,
2013-07-22T18:45:00Z,Kern,15,34.882,-118.9194,,712,,,,,
2013-05-18T19:00:00Z,Los Angeles,19,34.49149,-118.610044,,712,,,,,
2013-07-25T18:30:00Z,Kern,15,34.90327,-118.93388,,612,,,,,
2013-07-11T18:30:00Z,El Dorado,9,38.774,-120.298,,572,,,,,
2013-07-01T06:00:00Z,San Bernardino,36,34.071556,-117.048397,,534,,,,,
2013-08-25T13:15:00Z,Plumas,32,40.00842,-120.764666,,513,,,,,
2013-05-05T18:45:00Z,Riverside,33,33.894055,-116.855019,,510,,,,,
2013-07-05T18:30:00Z,Modoc,25,41.2415,-121.035,,502,,,,,
2013-06-03T18:30:00Z,San Luis Obispo,40,35.15832,-120.05131,,500,,,,,
2013-07-01T18:40:00Z,Contra Costa,7,37.96866,-121.91453,,492,,,,,
2013-06-18T19:30:00Z,Madera,20,37.015575,-119.78106,,482,,,,,
2013-08-20T13:32:00Z,San Bernardino,36,34.302,-117.598,,413,,,,,
2013-02-28T20:00:00Z,Inyo,14,36.602575,-118.01651,,406,,,,,
2013-10-04T16:55:00Z,Napa,28,38.628,-122.289,,376,,,,,
2013-05-03T18:45:00Z,San Benito,35,37.160346,-120.937494,,354,,,,,
2013-03-02T19:00:00Z,Riverside,33,0,0,,311,,,,,
2013-10-05T22:00:00Z,Butte,4,39.439,-121.497,,305,,,,,
2013-05-30T13:25:00Z,San Joaquin,39,38.04993,-120.90325,,303,,,,,
2013-06-03T20:00:00Z,Butte,4,39.434183,-121.576804,,298,,,,,
2013-01-23T10:15:00Z,Lake,17,0,0,,296,,,,,
2013-07-01T18:30:00Z,Contra Costa,7,39.90465,-121.74367,,274,,,,,
2013-05-01T07:00:00Z,Madera,20,37.116295,-119.635004,,274,,,,,
2013-09-28T08:00:00Z,Los Angeles,19,34.149,-117.908,,268,,,,,
2013-09-12T18:15:00Z,San Diego,37,32.710918,-116.746023,,263,,,,,
2013-08-13T23:45:00Z,San Bernardino,36,34.35,-117.62,,243,,,,,
2013-06-08T13:25:00Z,Alameda,1,37.775057,-121.737213,,240,,,,,
2013-06-13T14:15:00Z,Placer,31,38.729297,-121.380862,,237,,,,,
2013-06-17T09:00:00Z,Glenn,11,0,0,,226,,,,,
2013-05-05T18:00:00Z,Glenn,11,39.514139,-122.560862,,217,,,,,
2013-07-17T19:30:00Z,Monterey,27,0,0,,213,,,,,
2013-09-30T08:30:00Z,San Bernardino,36,34.2,-117.417,,200,,,,,
2013-07-04T10:30:00Z,Tehama,52,40.012398,-122.079871,,200,,,,,
2013-08-23T19:15:00Z,Shasta,45,40.5445,-121.3754,,196,,,,,
2013-07-19T15:00:00Z,Tehama,52,39.961309,-122.330879,,195,,,,,
2013-11-23T18:30:00Z,Napa,28,38.382,-122.311,,190,,,,,
