Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
171,Union City,San Francisco Bay,10/10/2022,283,0.11, ,0, ,385, ,15.1, ,73.3, ,52.3, ,61.4, ,93, ,59, ,81, ,55.6, ,2.7, ,63.7, ,66.3, 
171,Union City,San Francisco Bay,10/11/2022,284,0.11, ,0, ,391, ,14.6, ,71.5, ,52, ,60.1, ,96, ,61, ,83, ,54.8, ,2.8, ,67.7, ,66.1, 
171,Union City,San Francisco Bay,10/12/2022,285,0.09, ,0.01, ,306, ,14.9, ,70.4, ,55.6, ,60.7, ,92, ,63, ,82, ,55.3, ,3.3, ,79.4, ,65.9, 
171,Union City,San Francisco Bay,10/13/2022,286,0.08, ,0, ,303, ,14.3, ,68.7, ,56.7, ,59.8, ,92, ,65, ,82, ,54.1, ,3.4, ,82.7, ,66, 
171,Union City,San Francisco Bay,10/14/2022,287,0.09, ,0, ,325, ,14.6, ,70.8, ,55.4, ,59.8, ,92, ,61, ,83, ,54.7, ,3.2, ,77.6, ,66, 
171,Union City,San Francisco Bay,10/15/2022,288,0.07, ,0, ,269, ,14.7, ,68.3, ,57.1, ,61.3, ,88, ,66, ,79, ,54.8, ,3.1, ,74.1, ,66, 
171,Union City,San Francisco Bay,10/16/2022,289,0.04, ,0, ,150, ,13.6, ,67.9, ,50.7, ,61.6, ,90, ,61, ,72, ,52.7, ,2.3, ,55.8, ,65.8, 
171,Union City,San Francisco Bay,10/17/2022,290,0.1, ,0, ,344, ,13.5, ,74.8, ,47.5, ,59.7, ,96, ,54, ,77, ,52.6, ,2.2, ,51.6, ,64.2, 
171,Union City,San Francisco Bay,10/18/2022,291,0.1, ,0, ,325, ,14.7, ,79.3, ,53.4, ,64.1, ,94, ,47, ,72, ,54.8, ,1.8, ,42.3, ,64.3, 
171,Union City,San Francisco Bay,10/19/2022,292,0.12, ,0, ,350, ,12.2, ,88.6, ,51.5, ,66.6, ,92, ,16, ,55, ,49.9, ,1.9, ,44.6, ,64.1, 
171,Union City,San Francisco Bay,10/20/2022,293,0.1,R,0, ,354, ,13.7, ,78.4, ,49.3, ,60.8, ,93, ,46, ,75, ,52.9, ,2.3, ,54.5, ,63.7, 
171,Union City,San Francisco Bay,10/21/2022,294,0.1, ,0, ,359, ,13.7, ,66.9, ,49.6, ,58.3, ,96, ,65, ,82, ,52.9, ,3.2, ,77.1, ,63.5, 
171,Union City,San Francisco Bay,10/22/2022,295,0.1, ,0, ,315, ,12.7, ,68.2, ,50.2, ,60.6, ,91, ,54, ,70, ,51, ,3.9, ,92.5, ,63.7, 
171,Union City,San Francisco Bay,10/23/2022,296,0.1, ,0, ,353, ,9.1, ,69.3, ,41.3, ,54.7, ,86, ,33, ,62, ,42.1, ,2.7, ,64.3, ,62.1, 
171,Union City,San Francisco Bay,10/24/2022,297,0.11, ,0, ,342, ,8.2, ,73.6, ,41.5, ,56.8, ,82, ,22, ,52, ,39.5, ,2.4, ,56.6, ,60.8, 
171,Union City,San Francisco Bay,10/25/2022,298,0.09, ,0, ,319, ,11.8, ,68.3, ,47, ,56, ,92, ,53, ,77, ,48.9, ,2.9, ,68.7, ,60.7, 
171,Union City,San Francisco Bay,10/26/2022,299,0.09, ,0, ,320, ,10.2, ,66.7, ,42.2, ,53, ,94, ,51, ,74, ,45.1, ,2.4, ,57.3, ,60.1, 
191,Pleasanton,San Francisco Bay,10/10/2022,283,0.13, ,0, ,392, ,14.3, ,88.6, ,53.3, ,65.4, ,98, ,35, ,67, ,54.2, ,2.7, ,64.4, ,68.6, 
191,Pleasanton,San Francisco Bay,10/11/2022,284,0.13, ,0.02, ,398, ,13.7, ,84.7, ,50.6, ,64.1, ,100, ,34, ,67, ,53, ,2.5, ,59.8, ,68.3, 
191,Pleasanton,San Francisco Bay,10/12/2022,285,0.12, ,0, ,372, ,14.3, ,78.1, ,51.9, ,61.9, ,98, ,44, ,76, ,54.2, ,2.7, ,64.2, ,68.3, 
