ItemID,WildfireProbability,FormattedDate,StnId,NormPrecip,NormPrecip30,NormPrecip60,NormPrecip90,NormAvgAirTemp,NormAvgRelHum
1,1,2013-02-24 0:00:00,183,0,0.01189387,0.010793872,0.009612666,0.217687075,0.244680851
2,1,2013-04-20 0:00:00,199,0,0,0.0295961,0.059655075,0.302040816,0.287234043
3,1,2013-04-30 0:00:00,188,0,0.029277219,0.011142061,0.009047215,0.602721088,0.35106383
4,1,2013-04-30 0:00:00,77,0,0.095150961,0.096100279,0.088210348,0.624489796,0.191489362
5,1,2013-05-01 0:00:00,238,0,0.005489478,0.002089136,0.001696353,0.598639456,0.393617021
6,1,2013-05-01 0:00:00,238,0,0.005489478,0.002089136,0.001696353,0.598639456,0.393617021
7,1,2013-05-01 0:00:00,126,0,0.026532479,0.026462396,0.039581566,0.485714286,0.574468085
8,1,2013-05-01 0:00:00,8,0,0.030192132,0.037952646,0.035057959,0.693877551,0.095744681
9,1,2013-05-03 0:00:00,103,0,0.092406221,0.119428969,0.108283856,0.536054422,0.436170213
10,1,2013-05-04 0:00:00,32,0,0.052150046,0.053272981,0.048911507,0.654421769,0.276595745
11,1,2013-05-13 0:00:00,192,0,0,0,0,0.514285714,0.457446809
12,1,2013-05-15 0:00:00,118,0,0,0,0,0.76462585,0.223404255
13,1,2013-05-15 0:00:00,198,0,0.012808783,0.005222841,0.031665253,0.314285714,0.914893617
14,1,2013-05-16 0:00:00,218,0,0,0,0,0.761904762,0.29787234
15,1,2013-05-17 0:00:00,204,0,0.025617566,0.009749304,0.031665253,0.502040816,0.617021277
16,1,2013-05-19 0:00:00,163,0.020833333,0.066788655,0.034122563,0.046932429,0.567346939,0.404255319
17,1,2013-05-20 0:00:00,188,0,0.005489478,0.013231198,0.010743568,0.598639456,0.414893617
18,1,2013-05-20 0:00:00,238,0,0.090576395,0.034470752,0.027989822,0.665306122,0.35106383
19,1,2013-05-21 0:00:00,125,0,0.043915828,0.026462396,0.046084252,0.692517007,0.265957447
20,1,2013-05-22 0:00:00,147,0,0,0,0,0.514285714,0.776595745
21,1,2013-05-23 0:00:00,207,0,0,0,0,0.647619048,0.191489362
22,1,2013-05-25 0:00:00,238,0.020833333,0.096065874,0.036908078,0.0299689,0.506122449,0.531914894
23,1,2013-05-25 0:00:00,163,0.020833333,0.064958829,0.034470752,0.042974272,0.385034014,0.585106383
24,1,2013-05-26 0:00:00,207,0,0,0,0,0.697959184,0.223404255
25,1,2013-05-27 0:00:00,70,0,0.001829826,0.051532033,0.049194232,0.493877551,0.691489362
26,1,2013-05-28 0:00:00,204,0,0.025617566,0.009749304,0.02685892,0.610884354,0.361702128
27,1,2013-05-28 0:00:00,64,0,0.005489478,0.007660167,0.025162567,0.502040816,0.691489362
28,1,2013-05-30 0:00:00,191,0,0,0.016016713,0.025445293,0.500680272,0.5
29,1,2013-05-30 0:00:00,94,0,0.020128088,0.059888579,0.087079446,0.582312925,0.5
30,1,2013-06-01 0:00:00,202,0.03125,0.079597438,0.052228412,0.070115917,0.416326531,0.755319149
31,1,2013-06-02 0:00:00,194,0,0,0.012883008,0.035340684,0.697959184,0.414893617
32,1,2013-06-03 0:00:00,12,0,0.024702653,0.028551532,0.119875601,0.717006803,0.489361702
33,1,2013-06-04 0:00:00,56,0,0,0,0.029120724,0.598639456,0.553191489
34,1,2013-06-05 0:00:00,85,0,0.010064044,0.009401114,0.049194232,0.545578231,0.617021277
35,1,2013-06-08 0:00:00,204,0,0,0.009749304,0.007916313,0.576870748,0.595744681
36,1,2013-06-08 0:00:00,238,0,0.03568161,0.038997214,0.031665253,0.612244898,0.574468085
37,1,2013-06-09 0:00:00,238,0,0.024702653,0.038997214,0.031665253,0.606802721,0.521276596
38,1,2013-06-10 0:00:00,188,0,0,0.002089136,0.010743568,0.575510204,0.617021277
39,1,2013-06-10 0:00:00,139,0,0.000914913,0.024373259,0.04749788,0.514285714,0.638297872
40,1,2013-06-10 0:00:00,139,0,0.000914913,0.024373259,0.04749788,0.514285714,0.638297872
41,1,2013-06-10 0:00:00,144,0,0,0,0.046366978,0.465306122,0.787234043
42,1,2013-06-12 0:00:00,32,0,0.005489478,0.009401114,0.046084252,0.642176871,0.478723404
43,1,2013-06-12 0:00:00,195,0,0,0.001392758,0.070398643,0.650340136,0.404255319
44,1,2013-06-13 0:00:00,227,0,0.010064044,0.010445682,0.074074074,0.499319728,0.361702128
45,1,2013-06-13 0:00:00,80,0,0,0.002437326,0.015832627,0.725170068,0.20212766
46,1,2013-06-13 0:00:00,142,0,0.082342177,0.044568245,0.042126096,0.655782313,0.191489362
47,1,2013-06-14 0:00:00,44,0,0,0.008704735,0.007068137,0.580952381,0.574468085
48,1,2013-06-16 0:00:00,188,0,0,0.002089136,0.010743568,0.654421769,0.340425532
49,1,2013-06-16 0:00:00,148,0,0.010064044,0.004526462,0.031099802,0.66122449,0.340425532
50,1,2013-06-17 0:00:00,80,0,0,0.002437326,0.015832627,0.749659864,0.276595745
51,1,2013-06-18 0:00:00,212,0,0.001829826,0.004526462,0.031382528,0.521088435,0.542553191
52,1,2013-06-20 0:00:00,85,0,0.002744739,0.003830084,0.034492508,0.480272109,0.457446809
53,1,2013-06-25 0:00:00,142,0,0.082342177,0.044568245,0.042126096,0.723809524,0.414893617
54,1,2013-06-28 0:00:00,199,0,0,0.022284123,0.01809443,0.56462585,0.276595745
55,1,2013-06-29 0:00:00,113,0,0.006404392,0.005222841,0.007916313,0.707482993,0.35106383
56,1,2013-07-01 0:00:00,170,0,0,0,0.013853548,0.840816327,0.329787234
57,1,2013-07-01 0:00:00,170,0,0,0,0.013853548,0.840816327,0.329787234
58,1,2013-07-03 0:00:00,90,0,0.028362306,0.058495822,0.069267741,0.710204082,0.436170213
59,1,2013-07-04 0:00:00,191,0,0,0,0.005089059,0.789115646,0.340425532
60,1,2013-07-04 0:00:00,8,0,0.045745654,0.040389972,0.03562341,0.897959184,0.244680851
61,1,2013-07-06 0:00:00,191,0,0,0,0.005089059,0.567346939,0.553191489
62,1,2013-07-06 0:00:00,207,0,0,0,0,0.908843537,0.234042553
63,1,2013-07-07 0:00:00,163,0,0,0.015320334,0.030534351,0.541496599,0.5
64,1,2013-07-08 0:00:00,13,0,0,0,0.009895392,0.708843537,0.244680851
65,1,2013-07-08 0:00:00,84,0,0.054894785,0.022284123,0.027141645,0.734693878,0.361702128
66,1,2013-07-09 0:00:00,224,0,0.205855444,0.112116992,0.092733955,0.710204082,0.308510638
67,1,2013-07-12 0:00:00,211,0,0.007319305,0.002785515,0.002261804,0.511564626,0.680851064
68,1,2013-07-12 0:00:00,161,0,0.001829826,0.012534819,0.010743568,0.623129252,0.5
69,1,2013-07-15 0:00:00,118,0,0,0,0,0.93877551,0.180851064
70,1,2013-07-17 0:00:00,238,0.010416667,0.044830741,0.022632312,0.046084252,0.71292517,0.191489362
71,1,2013-07-19 0:00:00,228,0,0.060384263,0.02994429,0.042126096,0.844897959,0.170212766
72,1,2013-07-19 0:00:00,125,0,0.003659652,0.006963788,0.01809443,0.786394558,0.287234043
73,1,2013-07-19 0:00:00,44,0,0.002744739,0.001044568,0.007916313,0.688435374,0.446808511
74,1,2013-07-19 0:00:00,238,0,0.046660567,0.022980501,0.046649703,0.72244898,0.382978723
75,1,2013-07-19 0:00:00,131,0,0,0,0,0.744217687,0.382978723
76,1,2013-07-19 0:00:00,8,0,0.044830741,0.020891365,0.032796155,0.727891156,0.510638298
77,1,2013-07-22 0:00:00,106,0,0,0,0,0.604081633,0.478723404
78,1,2013-07-22 0:00:00,86,0.041666667,0.005489478,0.002785515,0.01498445,0.776870748,0.638297872
79,1,2013-07-23 0:00:00,125,0,0,0.005571031,0.01809443,0.817687075,0.361702128
80,1,2013-07-23 0:00:00,194,0,0.006404392,0.002437326,0.001979078,0.669387755,0.414893617
81,1,2013-07-25 0:00:00,192,0,0,0,0,0.6,0.446808511
82,1,2013-07-26 0:00:00,144,0,0,0,0,0.458503401,0.840425532
83,1,2013-07-28 0:00:00,147,0,0,0,0,0.544217687,0.787234043
84,1,2013-07-31 0:00:00,91,0,0.003659652,0.047005571,0.073791349,0.557823129,0.457446809
85,1,2013-08-01 0:00:00,12,0,0,0.020891365,0.024597116,0.571428571,1
86,1,2013-08-03 0:00:00,224,0,0,0.078342618,0.092733955,0.674829932,0.319148936
87,1,2013-08-04 0:00:00,238,0,0.018298262,0.019150418,0.043256997,0.662585034,0.425531915
88,1,2013-08-05 0:00:00,227,0,0,0.013927577,0.015832627,0.561904762,0.319148936
89,1,2013-08-05 0:00:00,62,0,0.000914913,0.001044568,0.002827255,0.565986395,0.680851064
90,1,2013-08-06 0:00:00,44,0,0.031107045,0.012534819,0.010178117,0.621768707,0.446808511
91,1,2013-08-07 0:00:00,57,0,0.007319305,0.007660167,0.006502686,0.647619048,0.159574468
92,1,2013-08-07 0:00:00,85,0,0,0.001392758,0.001979078,0.472108844,0.712765957
93,1,2013-08-08 0:00:00,117,0,0,0,0,0.66122449,0.138297872
94,1,2013-08-09 0:00:00,238,0,0.013723696,0.019150418,0.023183489,0.620408163,0.436170213
